timestamp,symbol,best_bid_price,best_bid_qty,best_ask_price,best_ask_qty,spread_bps,mid_price,imbalance_5,update_count,open,high,low,close,volume,vwap,trade_count,buy_count,sell_count,buy_volume,sell_volume
2026-05-12 09:41:54,BTCUSDT,80927.89,3.38841,80927.9,3.75853,0.0012356678744702306,80927.895,-0.08013797333347808,10,80927.89,80927.9,80927.89,80927.89,0.01746,80927.89003436426,4,1,3,6e-05,0.0174
2026-05-12 09:41:55,BTCUSDT,80927.89,3.38812,80927.9,3.74858,0.0012356678744702306,80927.895,-0.05065503651229822,10,80927.89,80927.9,80927.89,80927.9,0.01017,80927.89992133727,2,1,1,0.01009,8e-05
2026-05-12 09:41:56,BTCUSDT,80927.89,3.38812,80927.9,3.74869,0.0012356678744702306,80927.895,-0.07764468314693583,10,,,,,,,0,0,0,,
2026-05-12 09:41:57,BTCUSDT,80927.89,3.38325,80927.9,3.74482,0.0012356678744702306,80927.895,-0.07786457552812057,10,80927.9,80927.9,80927.89,80927.89,0.00853,80927.89420867526,2,1,1,0.00359,0.00494
2026-05-12 09:41:58,BTCUSDT,80927.89,3.73135,80927.9,3.57447,0.0012356678744702306,80927.895,-0.007071292891993849,10,80927.9,80927.9,80927.9,80927.9,0.0001,80927.9,1,1,0,0.0001,0.0
2026-05-12 09:41:59,BTCUSDT,80927.89,3.73135,80927.9,3.57386,0.0012356678744702306,80927.895,-0.00699071850751153,10,80927.9,80927.9,80927.9,80927.9,0.00061,80927.9,1,1,0,0.00061,0.0
2026-05-12 09:42:00,BTCUSDT,80927.89,5.76181,80927.9,0.99136,0.0012356678744702306,80927.895,0.710492464129138,10,80927.89,80927.9,80927.89,80927.9,0.92786,80927.89999709008,17,16,1,0.92759,0.00027
2026-05-12 09:42:01,BTCUSDT,80927.89,5.84824,80927.9,0.97779,0.0012356678744702306,80927.895,0.7174621407811683,10,80927.9,80927.9,80927.9,80927.9,0.01357,80927.9,5,5,0,0.01357,0.0
2026-05-12 09:42:02,BTCUSDT,80927.89,5.84817,80927.9,0.96529,0.0012356678744702306,80927.895,0.7205601288423561,10,80927.9,80927.9,80927.89,80927.89,0.01243,80927.89994368464,2,1,1,0.01236,7e-05
2026-05-12 09:42:03,BTCUSDT,80927.89,5.84817,80927.9,0.96211,0.0012356678744702306,80927.895,0.7213514998987532,10,80927.9,80927.9,80927.9,80927.9,0.004,80927.9,2,2,0,0.004,0.0
2026-05-12 09:42:04,BTCUSDT,80927.89,5.84817,80927.9,0.84598,0.0012356678744702306,80927.895,0.7507587158541088,10,80927.9,80927.9,80927.9,80927.9,0.11613,80927.9,8,8,0,0.11613,0.0
2026-05-12 09:42:05,BTCUSDT,80927.89,5.84817,80927.9,0.8359,0.0012356678744702306,80927.895,0.7533587031626836,10,80927.9,80927.9,80927.9,80927.9,0.01017,80927.9,2,2,0,0.01017,0.0
2026-05-12 09:42:06,BTCUSDT,80939.05,9.2889,80939.06,0.66489,0.0012354974987044264,80939.055,0.8700209275781031,10,80927.9,80939.06,80927.9,80939.06,1.46324,80930.39472465214,209,209,0,1.46324,0.0
2026-05-12 09:42:07,BTCUSDT,80939.05,10.0099,80939.06,0.45155,0.0012354974987044264,80939.055,0.9138195952550289,10,80939.06,80939.06,80939.05,80939.06,0.1685,80939.05876142433,23,22,1,0.14763,0.02087
