timestamp,symbol,best_bid_price,best_bid_qty,best_ask_price,best_ask_qty,spread_bps,mid_price,imbalance_5,update_count,open,high,low,close,volume,vwap,trade_count,buy_count,sell_count,buy_volume,sell_volume
2026-05-12 09:55:14,BTCUSDT,80810.33,1.0421,80810.34,9.15367,0.001237465480127016,80810.335,-0.804933798950494,10,80810.34,80810.34,80810.34,80810.34,0.00015,80810.34,1,1,0,0.00015,0.0
2026-05-12 09:55:15,BTCUSDT,80810.33,1.04211,80810.34,9.15301,0.001237465480127016,80810.335,-0.8049213668222336,10,80810.33,80810.33,80810.33,80810.33,0.00382,80810.33,1,0,1,0.0,0.00382
2026-05-12 09:55:16,BTCUSDT,80810.33,3.00719,80810.34,8.01555,0.001237465480127016,80810.335,-0.48230330508008146,10,80810.34,80810.34,80810.34,80810.34,0.01751,80810.34,1,1,0,0.01751,0.0
2026-05-12 09:55:17,BTCUSDT,80810.33,3.00693,80810.34,8.07821,0.001237465480127016,80810.335,-0.4734440621684062,10,80810.33,80810.33,80810.33,80810.33,0.00026,80810.33,2,0,2,0.0,0.00026
2026-05-12 09:55:18,BTCUSDT,80810.33,3.00465,80810.34,8.06785,0.001237465480127016,80810.335,-0.4732605358314162,10,80810.34,80810.34,80810.33,80810.33,0.00264,80810.33162878788,5,3,2,0.00043,0.00221
2026-05-12 09:55:19,BTCUSDT,80810.33,3.0047,80810.34,8.06794,0.001237465480127016,80810.335,-0.473258236470173,10,,,,,,,0,0,0,,
2026-05-12 09:55:20,BTCUSDT,80810.33,2.98801,80810.34,8.06801,0.001237465480127016,80810.335,-0.4754179160370483,10,80810.33,80810.33,80810.33,80810.33,0.01664,80810.33,2,0,2,0.0,0.01664
2026-05-12 09:55:21,BTCUSDT,80810.33,2.98651,80810.34,8.06728,0.001237465480127016,80810.335,-0.4755784557787684,10,80810.33,80810.33,80810.33,80810.33,0.0001,80810.33,1,0,1,0.0,0.0001
2026-05-12 09:55:22,BTCUSDT,80810.33,2.78214,80810.34,8.06073,0.001237465480127016,80810.335,-0.5022132692484715,10,80810.33,80810.34,80810.33,80810.34,0.08544,80810.33076661985,3,1,2,0.00655,0.07889
2026-05-12 09:55:23,BTCUSDT,80810.33,2.50003,80810.34,7.99956,0.001237465480127016,80810.335,-0.5384690562154946,10,80810.34,80810.34,80810.34,80810.34,0.00049,80810.34,1,1,0,0.00049,0.0
2026-05-12 09:55:24,BTCUSDT,80810.33,2.50003,80810.34,7.99954,0.001237465480127016,80810.335,-0.5384682051613022,10,,,,,,,0,0,0,,
2026-05-12 09:55:25,BTCUSDT,80810.33,2.78401,80810.34,7.99954,0.001237465480127016,80810.335,-0.4992147405948565,10,80810.34,80810.34,80810.33,80810.33,0.00017,80810.33529411764,2,1,1,9e-05,8e-05
2026-05-12 09:55:26,BTCUSDT,80810.33,2.46564,80810.34,7.99913,0.001237465480127016,80810.335,-0.5453826370171744,10,,,,,,,0,0,0,,
2026-05-12 09:55:27,BTCUSDT,80810.33,2.34689,80810.34,8.00918,0.001237465480127016,80810.335,-0.5629233936040882,10,80810.33,80810.33,80810.33,80810.33,0.08675,80810.33,26,0,26,0.0,0.08675
2026-05-12 09:55:28,BTCUSDT,80810.33,2.34645,80810.34,8.00472,0.001237465480127016,80810.335,-0.5628027303309618,10,80810.34,80810.34,80810.33,80810.34,0.0041,80810.33892682927,5,3,2,0.00366,0.00044
2026-05-12 09:55:29,BTCUSDT,80810.33,1.77789,80810.34,8.00527,0.001237465480127016,80810.335,-0.6501276289701059,10,80810.33,80810.34,80810.33,80810.33,0.10518,80810.33001711352,3,1,2,0.00018,0.105
2026-05-12 09:55:30,BTCUSDT,80810.33,0.85549,80810.34,8.0036,0.001237465480127016,80810.335,-0.8151320439227043,10,80810.33,80810.34,80810.33,80810.34,0.27431,80810.33000437461,5,1,4,0.00012,0.27419
2026-05-12 09:55:31,BTCUSDT,80810.33,0.70095,80810.34,8.00358,0.001237465480127016,80810.335,-0.8458662886054648,10,,,,,,,0,0,0,,
2026-05-12 09:55:32,BTCUSDT,80810.33,0.9255,80810.34,8.04388,0.001237465480127016,80810.335,-0.8023960511577791,10,,,,,,,0,0,0,,
2026-05-12 09:55:33,BTCUSDT,80810.33,0.91999,80810.34,8.11496,0.001237465480127016,80810.335,-0.8026433583935774,10,80810.33,80810.33,80810.33,80810.33,0.00579,80810.33,3,0,3,0.0,0.00579
2026-05-12 09:55:34,BTCUSDT,80810.33,0.88663,80810.34,8.03448,0.001237465480127016,80810.335,-0.8109581993022232,10,80810.34,80810.34,80810.34,80810.34,0.0802,80810.34,1,1,0,0.0802,0.0
2026-05-12 09:55:35,BTCUSDT,80810.33,0.14247,80810.34,7.99972,0.001237465480127016,80810.335,-0.9664043394105171,10,80810.33,80810.33,80810.33,80810.33,0.00037,80810.33,1,0,1,0.0,0.00037
2026-05-12 09:55:36,BTCUSDT,80808.48,0.98589,80808.49,8.03235,0.001237493810210648,80808.485,-0.7810968308630584,10,80810.33,80810.33,80808.48,80808.48,0.09025,80809.16260941829,83,0,83,0.0,0.09025
2026-05-12 09:55:37,BTCUSDT,80808.48,0.91868,80808.49,8.04638,0.001237493810210648,80808.485,-0.7947211789047711,10,80808.48,80808.48,80808.48,80808.48,0.07972,80808.48,3,0,3,0.0,0.07972
2026-05-12 09:55:38,BTCUSDT,80808.48,0.90598,80808.49,8.0464,0.001237493810210648,80808.485,-0.7971663520773499,10,,,,,,,0,0,0,,
2026-05-12 09:55:39,BTCUSDT,80808.48,1.23814,80808.49,7.8439,0.001237493810210648,80808.485,-0.7246111518869957,10,80808.49,80808.49,80808.48,80808.48,0.01285,80808.48240466927,2,1,1,0.00309,0.00976
2026-05-12 09:55:40,BTCUSDT,80810.33,9.73068,80810.34,3.26385,0.001237465480127016,80810.335,0.5074374977838769,10,80808.49,80810.33,80808.49,80810.33,0.53838,80808.49263921393,59,59,0,0.53838,0.0
2026-05-12 09:55:41,BTCUSDT,80810.33,9.73102,80810.34,3.25835,0.001237465480127016,80810.335,0.5095017019815687,10,80810.34,80810.34,80810.34,80810.34,0.00491,80810.34,6,6,0,0.00491,0.0
2026-05-12 09:55:42,BTCUSDT,80810.33,9.94226,80810.34,3.70812,0.001237465480127016,80810.335,0.45673184788911325,10,80810.33,80810.34,80810.33,80810.33,0.00966,80810.33896480332,6,2,4,0.00866,0.001
2026-05-12 09:55:43,BTCUSDT,80810.33,9.85268,80810.34,3.70484,0.001237465480127016,80810.335,0.4535476485053211,10,80810.34,80810.34,80810.33,80810.34,0.00706,80810.33444759207,3,2,1,0.00314,0.00392
2026-05-12 09:55:44,BTCUSDT,80810.33,10.09577,80810.34,3.24706,0.001237465480127016,80810.335,0.5149885194634797,10,80810.34,80810.34,80810.33,80810.33,0.00722,80810.33011080332,2,1,1,8e-05,0.00714
2026-05-12 09:55:45,BTCUSDT,80810.33,10.09584,80810.34,3.24694,0.001237465480127016,80810.335,0.5150045306357807,10,80810.34,80810.34,80810.34,80810.34,0.00012,80810.34,1,1,0,0.00012,0.0
2026-05-12 09:55:46,BTCUSDT,80831.97,5.60223,80831.98,0.84605,0.001237134191017849,80831.975,0.7769012971620465,10,80810.34,80837.85,80810.34,80831.98,5.65266,80817.85202690415,309,308,1,5.65214,0.00052
2026-05-12 09:55:47,BTCUSDT,80831.97,5.59446,80831.98,0.84563,0.001237134191017849,80831.975,0.8084700133475103,10,80831.98,80831.98,80831.97,80831.97,0.06175,80831.97001295547,6,1,5,8e-05,0.06167
